Fold,Label,Oversampling,Model,AUC,F1,Precision,Recall,MCC,FNR,TNR,FPR,Anomalies,TP
25,PROCESS,Oversampling_True,RandomForest,0.9482523148148148,0.0,0.0,0.0,0.0,1.0,1.0,0.0,360,0
26,PROCESS,Oversampling_True,RandomForest,0.833024477734224,0.02736212056434374,0.6808510638297872,0.013961605584642234,0.03681421995476532,0.9860383944153578,0.993455497382199,0.006544502617801047,2292,32
27,PROCESS,Oversampling_True,RandomForest,0.962650411781411,0.3354430379746836,0.9754601226993865,0.20254777070063695,0.32366135447205463,0.797452229299363,0.9949044585987261,0.005095541401273885,1570,318
28,PROCESS,Oversampling_True,RandomForest,0.8402630879957501,0.1465798045602606,0.8181818181818182,0.08050089445438284,0.14475049826382907,0.9194991055456172,0.9821109123434705,0.017889087656529516,1118,90
29,PROCESS,Oversampling_True,RandomForest,0.8769429630593132,0.0,0.0,0.0,0.0,1.0,1.0,0.0,248,0
1,PROCESS,Oversampling_True,GradientBoost,0.950818041390746,0.8301387970918703,0.8971428571428571,0.7724477244772447,0.6905899887427283,0.2275522755227552,0.9114391143911439,0.08856088560885608,1626,1256
2,PROCESS,Oversampling_True,GradientBoost,0.9227719892112752,0.8457928260140797,0.8285714285714286,0.8637452927079766,0.685657462276063,0.13625470729202327,0.8212940773707635,0.17870592262923657,2921,2523
3,PROCESS,Oversampling_True,GradientBoost,0.9375357614722803,0.8979591836734696,0.8946395563770796,0.9013035381750466,0.7951803471629062,0.09869646182495345,0.8938547486033519,0.10614525139664804,1074,968
4,PROCESS,Oversampling_True,GradientBoost,0.8940451826366588,0.7743717205191936,0.826163818503241,0.7286902286902287,0.5794106779215658,0.2713097713097713,0.8466735966735967,0.15332640332640332,1924,1402
5,PROCESS,Oversampling_True,GradientBoost,0.9602414279513889,0.8301669545192861,0.927927927927928,0.7510416666666667,0.7056478468511439,0.2489583333333333,0.9416666666666668,0.05833333333333333,960,721
6,PROCESS,Oversampling_True,GradientBoost,0.9865951742627345,0.024390243902439025,0.012345679012345678,1.0,0.10498450174285731,0.0,0.8927613941018767,0.10723860589812333,1,1
7,PROCESS,Oversampling_True,GradientBoost,0.9174491884515944,0.8558139534883722,0.9484536082474225,0.7796610169491526,0.7492486780416321,0.22033898305084743,0.9576271186440678,0.042372881355932195,472,368
8,PROCESS,Oversampling_True,GradientBoost,0.8554131330452122,0.6292134831460674,0.8664495114006514,0.49396471680594245,0.4627729522822364,0.5060352831940576,0.9238625812441968,0.07613741875580315,1077,532
9,PROCESS,Oversampling_True,GradientBoost,0.7995083548918922,0.4739956399875428,0.7648241206030151,0.3434115523465704,0.2849766709263002,0.6565884476534296,0.894404332129964,0.1055956678700361,2216,761
10,PROCESS,Oversampling_True,GradientBoost,1.0,0.010101010101010102,0.005076142131979695,1.0,0.06772736295262469,0.0,0.9036381514257621,0.09636184857423795,1,1
