Fold,Label,Oversampling,Model,AUC,F1,Precision,Recall,MCC,FNR,TNR,FPR,Anomalies,TP
7,squid,Oversampling_False,GradientBoost,0.48333333333333334,0.0,0.0,0.0,-0.002141126370299068,1.0,0.9984848484848485,0.0015151515151515152,4,0
8,squid,Oversampling_False,GradientBoost,0.9613769941225861,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
9,squid,Oversampling_False,GradientBoost,0.6468164794007489,0.2857142857142857,1.0,0.16666666666666663,0.4071063349669284,0.8333333333333335,1.0,0.0,6,1
10,squid,Oversampling_False,GradientBoost,0.5131266582879487,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
11,squid,Oversampling_False,GradientBoost,0.5181447845423626,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
12,squid,Oversampling_False,GradientBoost,0.4898064961990325,0.0,0.0,0.0,-0.0003455425017277125,1.0,0.9996544574982722,0.0003455425017277125,1,0
13,squid,Oversampling_False,GradientBoost,0.4984646878198567,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
14,squid,Oversampling_False,GradientBoost,0.5045694520298563,0.0,0.0,0.0,-0.005143446510625659,1.0,0.9983615510649918,0.0016384489350081922,30,0
15,squid,Oversampling_False,GradientBoost,0.4937888198757764,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
16,squid,Oversampling_False,GradientBoost,0.4948453608247423,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
17,squid,Oversampling_False,GradientBoost,0.7434959349593496,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
18,squid,Oversampling_False,GradientBoost,0.4926310043668122,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
19,squid,Oversampling_False,GradientBoost,0.516722779693944,0.0,0.0,0.0,0.0,1.0,1.0,0.0,59,0
20,squid,Oversampling_False,GradientBoost,0.5356546281896205,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
21,squid,Oversampling_False,GradientBoost,0.7820173613175575,0.08,0.33333333333333326,0.045454545454545456,0.11881335651262256,0.9545454545454546,0.9986919555264879,0.0013080444735120995,22,1
22,squid,Oversampling_False,GradientBoost,0.5656996587030717,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
23,squid,Oversampling_False,GradientBoost,0.33859746123897067,0.0,0.0,0.0,-0.008574037675613998,1.0,0.9927431059506531,0.007256894049346879,21,0
24,squid,Oversampling_False,GradientBoost,0.9917627677100495,0.0,0.0,0.0,-0.0016474464579901156,1.0,0.9983525535420099,0.0016474464579901156,1,0
25,squid,Oversampling_False,GradientBoost,0.6462065775086213,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18,0
26,squid,Oversampling_False,GradientBoost,0.6761396702230844,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,0
27,squid,Oversampling_False,GradientBoost,0.6820512820512821,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
28,squid,Oversampling_False,GradientBoost,0.818959497206704,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
29,squid,Oversampling_False,GradientBoost,0.5240395675178283,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
30,squid,Oversampling_False,GradientBoost,0.6142885811759984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
31,squid,Oversampling_False,GradientBoost,0.5049367180504803,0.0,0.0,0.0,0.0,1.0,1.0,0.0,31,0
32,squid,Oversampling_False,GradientBoost,0.46078431372549017,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
1,squid,Oversampling_False,XGBoost,0.7307080484667975,0.047619047619047616,0.125,0.02941176470588235,0.05482576037177597,0.9705882352941176,0.9973149213655543,0.002685078634445723,34,1
2,squid,Oversampling_False,XGBoost,0.5887709258169758,0.04347826086956521,0.25,0.023809523809523808,0.07631527877235189,0.9761904761904762,0.9997753650318234,0.00022463496817671285,42,1
3,squid,Oversampling_False,XGBoost,0.6548291564823171,0.04347826086956522,0.33333333333333326,0.023255813953488372,0.08401330722305406,0.9767441860465115,0.9991277802006105,0.0008722197993894462,43,1
4,squid,Oversampling_False,XGBoost,0.6463068181818181,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8,0
5,squid,Oversampling_False,XGBoost,0.5940726577437858,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,0
6,squid,Oversampling_False,XGBoost,0.5314032764371199,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16,0
7,squid,Oversampling_False,XGBoost,0.4785984848484849,0.0,0.0,0.0,-0.0015134326813422102,1.0,0.9992424242424243,0.0007575757575757576,4,0
8,squid,Oversampling_False,XGBoost,0.9832073887489504,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
9,squid,Oversampling_False,XGBoost,0.6584269662921349,0.0,0.0,0.0,-0.0027445370896646854,1.0,0.998876404494382,0.0011235955056179776,6,0
10,squid,Oversampling_False,XGBoost,0.5120793185309315,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
11,squid,Oversampling_False,XGBoost,0.4087528497215682,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
12,squid,Oversampling_False,XGBoost,0.48427781617138904,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
13,squid,Oversampling_False,XGBoost,0.49897645854657113,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
14,squid,Oversampling_False,XGBoost,0.4614873475332241,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30,0
15,squid,Oversampling_False,XGBoost,0.4875776397515528,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
16,squid,Oversampling_False,XGBoost,0.5006248047485161,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
17,squid,Oversampling_False,XGBoost,0.24227642276422764,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
18,squid,Oversampling_False,XGBoost,0.6535662299854439,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
19,squid,Oversampling_False,XGBoost,0.544089199134021,0.0,0.0,0.0,0.0,1.0,1.0,0.0,59,0
20,squid,Oversampling_False,XGBoost,0.5260929669949888,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
21,squid,Oversampling_False,XGBoost,0.6536506332124383,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22,0
22,squid,Oversampling_False,XGBoost,0.6494725411107665,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
23,squid,Oversampling_False,XGBoost,0.34399981569792887,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
24,squid,Oversampling_False,XGBoost,0.9950576606260297,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
25,squid,Oversampling_False,XGBoost,0.5887585162755489,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18,0
26,squid,Oversampling_False,XGBoost,0.5764791464597478,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,0
27,squid,Oversampling_False,XGBoost,0.6508158508158508,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
28,squid,Oversampling_False,XGBoost,0.8118598696461824,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
29,squid,Oversampling_False,XGBoost,0.5599551414768806,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
30,squid,Oversampling_False,XGBoost,0.6480366579704326,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
31,squid,Oversampling_False,XGBoost,0.5108716695302857,0.0,0.0,0.0,0.0,1.0,1.0,0.0,31,0
