Label,squid,squid,squid,squid,squid
Model,FCN,GradientBoost,RandomForest,ResNet,XGBoost
AUC,0.6462624386150939,0.5963916706825895,0.5477700399223648,0.6314810018304854,0.5825750794112756
F1,0.031994313909754456,0.016079419053251102,0.0009191176470588234,0.04099849105684029,0.004205486542443064
Precision,0.022630775854523413,0.047352430555555554,0.0009191176470588234,0.027503082006706543,0.022135416666666664
Recall,0.1509477053399115,0.01455070664629488,0.0009191176470588234,0.1990223218950528,0.002389909452152954
MCC,0.03262818406288432,0.020444986166600163,-0.00030190213773629817,0.04730530716483679,0.0065905117686304695
FNR,0.8490522946600886,0.9854492933537051,0.9990808823529411,0.8009776781049472,0.9976100905478471
TNR,0.9358788496071313,0.9977994956369619,0.999257838665094,0.9362259590076725,0.9998230279792123
FPR,0.06412115039286861,0.0022005043630380955,0.0007421613349060928,0.06377404099232738,0.00017697202078767555
