Fold,Label,Oversampling,Model,AUC,F1,Precision,Recall,MCC,FNR,TNR,FPR,Anomalies,TP
17,squid,Oversampling_True,RandomForest,0.9968695882080773,0.8355387523629489,0.9977426636568849,0.71869918699187,0.746877472218477,0.2813008130081301,0.9983739837398374,0.0016260162601626016,615,442
18,squid,Oversampling_True,RandomForest,0.594912020175054,0.40243902439024387,0.9956896551724138,0.2521834061135371,0.37750599447170236,0.7478165938864629,0.9989082969432315,0.001091703056768559,916,231
19,squid,Oversampling_True,RandomForest,0.5136377542439746,0.14279299506061968,0.9464285714285714,0.07722195240407966,0.18413573105258862,0.9227780475959203,0.9956289460903353,0.004371053909664886,2059,159
20,squid,Oversampling_True,RandomForest,0.5932188062426619,0.19598693420438637,0.9813084112149533,0.1088646967340591,0.23327658533080567,0.8911353032659409,0.997926386728875,0.002073613271124935,1929,210
21,squid,Oversampling_True,RandomForest,0.49118011019568913,0.40374609781477633,0.9872773536895675,0.2537606278613473,0.37424317771987764,0.7462393721386528,0.9967298888162197,0.0032701111837802484,1529,388
22,squid,Oversampling_True,RandomForest,0.7080629943272492,0.5294855708908407,1.0,0.36006825938566556,0.4685754531075467,0.6399317406143344,1.0,0.0,586,211
23,squid,Oversampling_True,RandomForest,0.42443233908852657,0.027605901951451687,0.8529411764705883,0.014029995162070631,0.06428059008066962,0.9859700048379294,0.9975810353168844,0.0024189646831156266,2067,29
24,squid,Oversampling_True,RandomForest,0.04612850082372322,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
25,squid,Oversampling_True,RandomForest,0.5859151733397667,0.35674331883157234,0.9965277777777779,0.21725965177895534,0.3473494055752488,0.7827403482210447,0.9992429977289932,0.000757002271006813,1321,287
26,squid,Oversampling_True,RandomForest,0.590590929488476,0.5032537960954446,0.9886363636363636,0.33753637245392826,0.4433932278376513,0.6624636275460718,0.9961202715809894,0.0038797284190106697,2062,696
27,squid,Oversampling_True,RandomForest,0.6998918839944481,0.6030989272943982,0.9960629921259843,0.4324786324786325,0.5224394284185125,0.5675213675213675,0.9982905982905983,0.0017094017094017094,585,253
28,squid,Oversampling_True,RandomForest,0.6852459300193503,0.6886513531953604,0.9876060013046313,0.5286312849162011,0.5895275868538332,0.4713687150837989,0.9933659217877095,0.006634078212290503,2864,1514
