Label,squid,squid,squid,squid,squid
Model,FCN,GradientBoost,RandomForest,ResNet,XGBoost
AUC,0.5871839490771553,0.6457237953281663,0.5472604563657559,0.46319754746437514,0.6181224543768671
F1,0.5913692399529296,0.3966038295373013,0.31435703368264956,0.5817907928054304,0.40006069424332186
Precision,0.4498810764171999,0.7500092147830728,0.8238775594340072,0.4454246910565003,0.8276580325012687
Recall,0.9920745025150788,0.30537166371147256,0.2194864932281853,0.9726445853875826,0.29944430183925186
MCC,0.0890395501974628,0.3371585781541938,0.3015520564725561,0.08610297363332885,0.37418835290015623
FNR,0.007925497484921187,0.6946283362885275,0.7805135067718147,0.027355414612417514,0.700555698160748
TNR,0.0448627533260324,0.9729847069412866,0.9969753490997804,0.05882709869724581,0.9960929821412228
FPR,0.9551372466739675,0.027015293058713464,0.0030246509002195177,0.941172901302754,0.003907017858776995
